"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.698615281,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.200709254,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.376175414,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.352658232,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.754531892,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.96203393,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.920216638,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.569769541,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.937772316,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.704786606,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.470262128,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.106498731,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.053633548,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.452678685,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.910334512,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.677402899,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.422995486,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.89823625,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.280952943,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.268950955,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.203458981,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.830108077,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.777440159,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.857911927,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.895382405,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.607954392,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.603463108,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.86942794,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.219913369,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.463678449,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.261904609,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.49860561,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.032431517,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.538612845,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.193936526,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.668447762,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.912696093,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.293001886,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.105541759,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.380053378,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.643017443,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.092051833,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.353517553,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.900330885,
"OECD","QGDP","TOT","PC_CHGPP","A","2006",3.168514574,
