ID;What is your zodiac? (https://www.astrology-zodiac-signs.com/);Do you prefer dogs or cats?;What experiences do have on related to R programming?;How many slices of pizza can you it at once?;Do you wear glasses?2;How many countries have you been to so far?;How many instagram followers do you have? (zero, if you do not have an account);How many brothers and sisters do you have?;What is your batteries current charge level? (0-100);What is the traditional food in your country? (you can mention more, if you wish)
1;leo;dogs;I am familier with R.;8;no;10;275;2;59;gulash
2;taurus;Dogd;I have some experiences with programming, but not with R.;12;yes;50;450;1;92;Doner kebap 
3;pisces;Both;I do not have any experiences with programming.;Depends on size. Can be up to 5 slices of the medium pizza;yes;1;655;1;91%;Kebab
4;taurus;neither;I do not have any experiences with programming.;2;yes;2;7;4 sisters, 0 brother;98;ampesi
5;aquarius;dogs;I have some experiences with programming, but not with R.;3;yes;1;332;1;24;Dolma,Plov
6;leo;Cats;I am familier with R.;4;no;3;105;2;36;Plov
7;virgo;Cats;I am familier with R.;4;yes;0;147;2;20;plov, dolma
8;virgo;Dogs;I learnt R in university before.;4;yes;7;687;1;66;Borsch 
9;taurus;dogs;I learnt R in university before.;3;yes;6;64;0;86;Songzi (rice-pudding), Spicy soup, Dumplings, Mooncake, Lanzhou noodles, Peking Duck, Hotpot…
10;cancer;dogs;I do not have any experiences with programming.;2;yes;1;0;0;73;rice
11;capricorn;Dogs;I have some experiences with programming, but not with R.;4;no;1;155;6;30%;Kebab
12;pisces;No;I have some experiences with programming, but not with R.;3;yes;8;23;0;81;mooncake
13;sagittarius;Dogs;I do not have any experiences with programming.;3;yes;2;127;0;61;Biryani
14;virgo;cats;I do not have any experiences with programming.;2;no;5;651;1;19;dolma
15;leo;cats;I learnt R in university before.;2;yes;5;0;1;100;Rice and noodle
16;aries;Dogs;I have some experiences with programming, but not with R.;4 and It depends how much I am hungry ;no;1;357;1 brother ;35;Dolma, aş, kabab, dovğa, piti and so on
17;aries;cats;I do not have any experiences with programming.;4;no;3;119;2;100;Azerbaijani plov/ash, kabab 
18;pisces;Dogs;I am familier with R.;3;no;8;450;1;77;Tajin
19;aquarius;сats;I have some experiences with programming, but not with R.;2;yes;15;300;0;21;borsch
20;virgo;dogs;I do not have any experiences with programming.;6;yes;10;7;1;74;fired rice with eggs
21;virgo;dogs;I do not have any experiences with programming.;3;no;2;300+;2;31;Beshbarmal, qazi, qurt
